"Self-Advocacy Checklist",,"A student-directed guide for monitoring progress on articulating needs in several different environments (classroom, employment, and social/community), with various levels of audiences (teacher, acquaintance, new person, real life situation). The guide offers instructions, helpful hints, and sample phrases.",,,,"Yes","Yes","amy meg","No","2010-01-20 16:31:40","No","No",,"Students||Professionals","Author: Dwyre, Amy - TransCen, Inc||Contributor: Dwyre, Amy - TransCen, Inc||Author: Grigal, Meg - TransCen, Inc","Data Collection||Self Determination||Transition Planning",""
"Family Interview Protocol",,"Sample Interview questions to be used by staff when recruiting students for a postsecondary education transition program or individual supports college based experience.",,,"sent to Janice Fialka for review- Jan 20th, 2010, expected back Jan 27, 2010 - AD","Yes","Yes","amy","No","2010-01-19 15:37:00","No","No","This was from a program in Baltimore – I’m looking for areas or questions I may have missed. This would be used when recruiting students into a postsecondary program.","Families||Professionals","Author: Dwyre, Amy - TransCen, Inc||Contributor: Dwyre, Amy - TransCen, Inc||Reviewer: Fialka, Janice","Program Planning||Program Development||Program Implementation||Adult Learning/ College Course Access","||"
"BTC Family Brochure",,,,,,"Yes","Yes","amy","No","2009-03-26 11:19:53","No","No",,,"Author: Dwyre, Amy - TransCen, Inc||Contributor: Grigal, Meg - TransCen, Inc",,"||"
"PROTOCOL FOR FAMILY INTERVIEW",,,,"yes","From Meg's Think College Resources book- under development; admissions","No","No",,"No","2009-06-24 16:26:52","No","No",,,"Author: Dwyre, Amy - TransCen, Inc||Contributor: Grigal, Meg - TransCen, Inc",,"||"
"PROTOCOL FOR STUDENT INTERVIEW",,,,,"from meg's think college resources binder
admissions section","No","No",,"No","2009-06-29 12:22:24","No","No",,,"Author: Dwyre, Amy - TransCen, Inc||Contributor: Grigal, Meg - TransCen, Inc",,"||"
"College Is Possible for Students With Intellectual Disabilities",,"US News and World Report",,,,"Yes","No",,"No","2010-01-19 15:56:31","No","No",,,"Contributor: Dwyre, Amy - TransCen, Inc",,"||"
"Family Responsibility Form",,,,,,"No","No",,"No","2010-01-19 16:01:10","No","No",,,"Contributor: Dwyre, Amy - TransCen, Inc",,"||"
"The Western Connection Application - Parent",,,,,,"No","No",,"No","2010-01-19 16:16:39","No","No",,,"Contributor: Dwyre, Amy - TransCen, Inc",,"||"
"The Western Connection Application - Sending School District",,,,,,"No","No",,"No","2010-01-19 16:25:04","No","No",,,"Contributor: Dwyre, Amy - TransCen, Inc",,"||"
"The Western Connection Application - Student",,,,,,"No","No",,"No","2010-01-19 16:26:20","No","No",,,"Contributor: Dwyre, Amy - TransCen, Inc",,"Student Application"
"Western Connection Student Interview",,,,,,"No","No",,"No","2010-01-19 16:45:02","No","No",,,"Contributor: Dwyre, Amy - TransCen, Inc",,"||"
"Carolina Life Student Videos",,"Videos of students describing their life goals at the Carolina LIFE Program at University of South Carolina, for students with intellectual disabilities.",,,,"No","No",,"No","2010-05-13 11:53:26","No","No","need to email (? ) is web link…","Students||Families||Professionals","Contributor: Dwyre, Amy - TransCen, Inc||Author:  - Carolina Life - Univ of SC","Self Determination","||"
"Peer Mentor Application - USC",,"Sample Peer Mentor Application form the University of South Carolina’s Carolina Life Program for students with intellectual disabilities.",,,,"No","No",,"No","2010-05-12 16:33:08","No","No","need to email","Students||Families||Professionals","Contributor: Dwyre, Amy - TransCen, Inc||Author:  - Carolina Life - Univ of SC","Educational Coaching/ Mentoring","||"
"Peer Mentor Contract - USC",,"One page sample Peer Mentor Contract/Agreement form the University of South Carolina’s Carolina Life Program for students with intellectual disabilities.  Includes mentor responsibilities and minimal requirements.",,,,"No","No",,"No","2010-05-12 16:36:47","No","No","need to email","Professionals","Contributor: Dwyre, Amy - TransCen, Inc||Author:  - Carolina Life - Univ of SC","Educational Coaching/ Mentoring","||"
